Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,id
21,1984-07-20,320.0,Crans-Montana,Villefranche-sur-Saône,Hilly,Frank Hoste,BEL,233
22,1984-07-21,51.0,Villié-Morgon,Villefranche-sur-Saône,Time Trial,Laurent Fignon,FRA,479
23,1984-07-22,197.0,Pantin,Paris,Hilly,Eric Vanderaerden,BEL,177
P,1983-07-01,6.0,Fontenay-sous-Bois,Fontenay-sous-Bois,Time Trial,Eric Vanderaerden,BEL,177
1,1983-07-02,163.0,Nogent-sur-Marne,Créteil,Flat,Frits Pirard,NED,244
2,1983-07-03,100.0,Soissons,Fontaine-au-Pire,Time Trial,COOP–Mercier–Mavic,NA,94
3,1983-07-04,152.0,Valenciennes,Roubaix,Hilly,Rudy Matthijs,BEL,754
4,1983-07-05,300.0,Roubaix,Le Havre,Flat,Serge Demierre,SUI,772
5,1983-07-06,257.0,Le Havre,Le Mans,Flat,Dominique Gaigne,FRA,151
6,1983-07-07,58.0,Châteaubriant,Nantes,Time Trial,Bert Oosterbosch,NED,84
7,1983-07-08,216.0,Nantes,Île d'Oléron,Flat,Riccardo Magrini,ITA,711
8,1983-07-09,222.0,La Rochelle,Bordeaux,Flat,Bert Oosterbosch,NED,84
9,1983-07-10,207.0,Bordeaux,Pau,Flat,Philippe Chevallier,FRA,657
10,1983-07-11,201.0,Pau,Bagnères-de-Luchon,Mountain,Robert Millar,GBR,726
11,1983-07-12,177.0,Bagnères-de-Luchon,Fleurance,Flat,Régis Clère,FRA,757
12,1983-07-13,261.0,Fleurance,Roquefort-sur-Soulzon,Flat,Kim Andersen,DEN,466
13,1983-07-14,210.0,Roquefort-sur-Soulzon,Aurillac,Hilly,Henk Lubberding,NED,321
14,1983-07-15,149.0,Aurillac,Issoire,Hilly,Pierre Le Bigaut,FRA,666
15,1983-07-16,16.0,Clermont-Ferrand,Puy de Dôme,Time Trial,Ángel Arroyo,ESP,859
16,1983-07-17,144.0,Issoire,Saint-Étienne,Hilly,Michel Laurent,FRA,590
17,1983-07-18,223.0,La Tour-du-Pin,Alpe d'Huez,Mountain,Peter Winnen,NED,655
18,1983-07-20,247.0,Le Bourg-d'Oisans,Morzine,Mountain,Jacques Michaud,FRA,350
19,1983-07-21,15.0,Morzine,Avoriaz,Time Trial,Lucien Van Impe,BEL,511
20,1983-07-22,291.0,Morzine,Dijon,Flat,Philippe Leleu,FRA,659
21,1983-07-23,50.0,Dijon,Dijon,Time Trial,Laurent Fignon,FRA,479
22,1983-07-24,195.0,Alfortville,Paris,Flat,Gilbert Glaus,SUI,285
P,1982-07-02,7.0,Basel,Basel,Time Trial,Bernard Hinault,FRA,74
1,1982-07-03,207.0,Basel,Möhlin,Hilly,Ludo Peeters,BEL,515
2,1982-07-04,250.0,Basel,Nancy,Flat,Phil Anderson,AUS,656
3,1982-07-05,134.0,Nancy,Longwy,Flat,Daniel Willems,BEL,130
4,1982-07-06,219.0,Beauraing,Mouscron,Flat,Gerrie Knetemann,NED,272
5,1982-07-07,73.0,Orchies,Fontaine-au-Pire,Time Trial,Other,NA,626
6,1982-07-08,233.0,Lille,Lille,Flat,Jan Raas,NED,359
7,1982-07-10,235.0,Cancale,Concarneau,Flat,Pol Verschuere,BEL,679
8,1982-07-11,201.0,Concarneau,Châteaulin,Flat,Frank Hoste,BEL,233
9a,1982-07-12,69.0,Lorient,Plumelec,Time Trial,Renault–Elf–Gitane,NA,701
9b,1982-07-12,138.0,Plumelec,Nantes,Flat,Stefan Mutter,SUI,783
10,1982-07-13,147.0,Saintes,Bordeaux,Flat,Pierre-Raymond Villemiane,FRA,672
11,1982-07-14,57.0,Valence d'Agen,Valence d'Agen,Time Trial,Gerrie Knetemann,NED,272
12,1982-07-15,249.0,Fleurance,Pau,Mountain,Sean Kelly,IRE,768
13,1982-07-16,122.0,Pau,Saint-Lary-Soulan Pla d'Adet,Mountain,Beat Breu,SUI,68
14,1982-07-18,33.0,Martigues,Martigues,Time Trial,Bernard Hinault,FRA,74
15,1982-07-19,208.0,Manosque,Orcières-Merlette,Mountain,Pascal Simon,FRA,638
16,1982-07-20,123.0,Orcières-Merlette,Alpe d'Huez,Mountain,Beat Breu,SUI,68
17,1982-07-21,251.0,Le Bourg-d'Oisans,Morzine,Mountain,Peter Winnen,NED,655
18,1982-07-22,233.0,Morzine,Saint-Priest,Flat,Adrie van Houwelingen,NED,10
19,1982-07-23,48.0,Saint-Priest,Saint-Priest,Time Trial,Bernard Hinault,FRA,74
20,1982-07-24,161.0,Sens,Aulnay-sous-Bois,Flat,Daniel Willems,BEL,130
